Transaction ID,Product,Quantity,Unit Price (INR),Month,Sales Date,Customer Name,City,State,Country,Sales Channel,Payment Type,Total Sale (INR),Profit
TX0012,Headphones,9,"₹ 19,740.00",Sep,2024-09-11,Prisha Bakshi,Sasaram,Assam,India,Direct,Credit Card,"₹ 177,660.00","₹ 53,298.00"
TX0013,Printer,5,"₹ 19,143.00",Sep,2024-09-17,Abram Shetty,Jodhpur,Tripura,India,Store,UPI,"₹ 95,715.00","₹ 28,714.50"
TX0014,Desktop PC,7,"₹ 5,387.00",Oct,2023-10-24,Anaya Sunder,Jalna,Karnataka,India,Online,Debit Card,"₹ 37,709.00","₹ 11,312.70"
TX0015,Desktop PC,6,"₹ 19,724.00",Dec,2023-12-21,Farhan Mand,Unnao,Manipur,India,Direct,Debit Card,"₹ 118,344.00","₹ 35,503.20"
TX0016,Camera,9,"₹ 7,785.00",Feb,2024-02-15,Nakul Hora,Bahraich,Uttar Pradesh,India,Direct,Debit Card,"₹ 70,065.00","₹ 21,019.50"
TX0017,Smartwatch,3,"₹ 7,262.00",Dec,2023-12-03,Rhea Hegde,Mau,Odisha,India,Online,Cash,"₹ 21,786.00","₹ 6,535.80"
TX0018,Printer,4,"₹ 2,877.00",Apr,2024-04-21,Shanaya Desai,Tadepalligudem,Andhra Pradesh,India,Online,Cash,"₹ 11,508.00","₹ 3,452.40"
TX0019,Printer,8,"₹ 9,997.00",Nov,2023-11-30,Miraan Rastogi,Tiruchirappalli,Gujarat,India,Direct,Debit Card,"₹ 79,976.00","₹ 23,992.80"
TX0020,Printer,6,"₹ 2,081.00",Aug,2024-08-02,Dharmajan Wable,Dhule,Assam,India,Store,Cash,"₹ 12,486.00","₹ 3,745.80"
TX0021,Laptop,4,"₹ 4,246.00",Jul,2024-07-25,Myra Chanda,Orai,Uttar Pradesh,India,Online,Cash,"₹ 16,984.00","₹ 5,095.20"
TX0022,Laptop,5,"₹ 14,316.00",May,2024-05-25,Lavanya Koshy,Chapra,Arunachal Pradesh,India,Direct,UPI,"₹ 71,580.00","₹ 21,474.00"
TX0023,E-Reader,6,"₹ 18,074.00",Feb,2024-02-07,Gokul Devi,Mangalore,Telangana,India,Online,Credit Card,"₹ 108,444.00","₹ 32,533.20"
TX0024,Camera,4,"₹ 14,772.00",Nov,2023-11-04,Miraya Sahota,Kharagpur,Kerala,India,Direct,Net Banking,"₹ 59,088.00","₹ 17,726.40"
TX0025,Headphones,4,"₹ 14,215.00",Jan,2024-01-22,Hansh Rau,Bhubaneswar,Kerala,India,Direct,Debit Card,"₹ 56,860.00","₹ 17,058.00"
TX0026,External Hard Drive,8,"₹ 6,274.00",Jan,2024-01-27,Heer Gole,Tirupati,Punjab,India,Direct,Cash,"₹ 50,192.00","₹ 15,057.60"
TX0027,External Hard Drive,8,"₹ 5,670.00",Jul,2024-07-01,Divyansh Ahluwalia,Kota,Mizoram,India,Store,Cash,"₹ 45,360.00","₹ 13,608.00"
TX0028,Desktop PC,4,"₹ 8,325.00",Nov,2023-11-06,Damini Bhat,Gaya,Nagaland,India,Online,Cash,"₹ 33,300.00","₹ 9,990.00"
TX0029,Desktop PC,3,"₹ 13,195.00",Jul,2024-07-02,Renee Subramanian,Kota,Uttar Pradesh,India,Store,Credit Card,"₹ 39,585.00","₹ 11,875.50"
TX0030,E-Reader,4,"₹ 7,947.00",Sep,2023-09-27,Keya Chacko,Vijayawada,Mizoram,India,Direct,Net Banking,"₹ 31,788.00","₹ 9,536.40"
TX0031,E-Reader,8,"₹ 11,358.00",Dec,2023-12-15,Hiran Kata,Delhi,Uttarakhand,India,Store,UPI,"₹ 90,864.00","₹ 27,259.20"
TX0032,Camera,8,"₹ 15,744.00",Jan,2024-01-29,Shalv Sodhi,Nandyal,Arunachal Pradesh,India,Online,Debit Card,"₹ 125,952.00","₹ 37,785.60"
TX0033,Camera,6,"₹ 3,080.00",Dec,2023-12-27,Shlok Chopra,Buxar,Bihar,India,Online,Cash,"₹ 18,480.00","₹ 5,544.00"
TX0034,Smartwatch,2,"₹ 3,896.00",Sep,2024-09-02,Heer Borra,Kavali,Assam,India,Online,Net Banking,"₹ 7,792.00","₹ 2,337.60"
TX0035,Laptop,3,"₹ 12,383.00",Jun,2024-06-14,Armaan Chand,Shimoga,Telangana,India,Store,Credit Card,"₹ 37,149.00","₹ 11,144.70"
TX0036,External Hard Drive,3,"₹ 10,823.00",Sep,2024-09-11,Saira Zachariah,Ichalkaranji,Mizoram,India,Online,UPI,"₹ 32,469.00","₹ 9,740.70"
TX0037,External Hard Drive,9,"₹ 5,049.00",Aug,2024-08-01,Damini Samra,Berhampore,Chhattisgarh,India,Store,UPI,"₹ 45,441.00","₹ 13,632.30"
TX0038,Tablet,2,"₹ 12,548.00",Dec,2023-12-13,Eshani Tara,Nangloi Jat,Gujarat,India,Online,Credit Card,"₹ 25,096.00","₹ 7,528.80"
TX0039,Printer,6,"₹ 8,432.00",Dec,2023-12-25,Hiran Dyal,Bhimavaram,Arunachal Pradesh,India,Direct,Credit Card,"₹ 50,592.00","₹ 15,177.60"
TX0040,E-Reader,9,"₹ 13,351.00",Aug,2024-08-08,Advika Seshadri,Pimpri-Chinchwad,Mizoram,India,Direct,Debit Card,"₹ 120,159.00","₹ 36,047.70"
TX0041,Camera,5,"₹ 16,286.00",Aug,2024-08-12,Veer Soman,Bhatpara,Chhattisgarh,India,Direct,Net Banking,"₹ 81,430.00","₹ 24,429.00"
TX0042,Laptop,1,"₹ 4,978.00",Mar,2024-03-31,Amira Badal,Solapur,Himachal Pradesh,India,Direct,Cash,"₹ 4,978.00","₹ 1,493.40"
TX0043,Tablet,3,"₹ 10,629.00",Sep,2024-09-22,Ryan Sidhu,Kamarhati,Kerala,India,Store,Cash,"₹ 31,887.00","₹ 9,566.10"
TX0044,Camera,6,"₹ 7,312.00",Sep,2024-09-10,Nayantara Issac,Salem,Odisha,India,Store,Net Banking,"₹ 43,872.00","₹ 13,161.60"
TX0045,Smartwatch,6,"₹ 5,963.00",Apr,2024-04-18,Neelofar Kohli,Nellore,Rajasthan,India,Online,Debit Card,"₹ 35,778.00","₹ 10,733.40"
TX0046,Desktop PC,1,"₹ 4,437.00",Oct,2023-10-16,Zaina Sani,Silchar,Kerala,India,Direct,UPI,"₹ 4,437.00","₹ 1,331.10"
TX0047,Smartwatch,9,"₹ 9,000.00",Aug,2024-08-14,Dhanuk Dasgupta,Nadiad,Sikkim,India,Store,UPI,"₹ 81,000.00","₹ 24,300.00"
TX0048,Smartwatch,2,"₹ 4,321.00",Feb,2024-02-06,Nakul Lalla,Panvel,Uttarakhand,India,Direct,Credit Card,"₹ 8,642.00","₹ 2,592.60"
TX0049,Printer,2,"₹ 12,180.00",May,2024-05-13,Indrajit Chandra,Bhopal,Andhra Pradesh,India,Store,Credit Card,"₹ 24,360.00","₹ 7,308.00"
TX0050,Laptop,1,"₹ 4,360.00",May,2024-05-13,Pihu Garg,Cuttack,Bihar,India,Store,Debit Card,"₹ 4,360.00","₹ 1,308.00"
TX0051,Printer,4,"₹ 12,400.00",Jun,2024-06-02,Shayak Dixit,Agartala,Tripura,India,Direct,Cash,"₹ 49,600.00","₹ 14,880.00"
TX0052,Smartphone,9,"₹ 15,553.00",Apr,2024-04-30,Mishti Sahota,Etawah,Manipur,India,Online,Credit Card,"₹ 139,977.00","₹ 41,993.10"
TX0053,Tablet,9,"₹ 2,337.00",Oct,2023-10-04,Alia Rama,Hazaribagh,West Bengal,India,Direct,Credit Card,"₹ 21,033.00","₹ 6,309.90"
TX0054,Desktop PC,5,"₹ 18,457.00",Mar,2024-03-07,Adira Suresh,Darbhanga,Gujarat,India,Direct,UPI,"₹ 92,285.00","₹ 27,685.50"
TX0055,Laptop,5,"₹ 19,124.00",Aug,2024-08-23,Aradhya Sarin,Ghaziabad,Telangana,India,Direct,Credit Card,"₹ 95,620.00","₹ 28,686.00"
TX0056,External Hard Drive,1,"₹ 5,248.00",Sep,2023-09-27,Tejas Kohli,Sambhal,Jharkhand,India,Direct,Cash,"₹ 5,248.00","₹ 1,574.40"
TX0057,Camera,4,"₹ 2,739.00",Mar,2024-03-22,Alisha Zachariah,Akola,Andhra Pradesh,India,Store,Credit Card,"₹ 10,956.00","₹ 3,286.80"
TX0058,E-Reader,8,"₹ 15,728.00",Jun,2024-06-07,Divyansh Sami,Phusro,Uttar Pradesh,India,Online,Debit Card,"₹ 125,824.00","₹ 37,747.20"
TX0059,Smartphone,4,"₹ 7,390.00",Feb,2024-02-01,Aarav Yohannan,Allahabad,Andhra Pradesh,India,Online,UPI,"₹ 29,560.00","₹ 8,868.00"
TX0060,Desktop PC,3,"₹ 10,604.00",Feb,2024-02-02,Lakshay Ramachandran,Mau,Haryana,India,Online,Net Banking,"₹ 31,812.00","₹ 9,543.60"
TX0061,Tablet,2,"₹ 6,267.00",Aug,2024-08-03,Trisha Sami,Tirunelveli,Chhattisgarh,India,Direct,Credit Card,"₹ 12,534.00","₹ 3,760.20"
TX0062,External Hard Drive,2,"₹ 15,409.00",Oct,2023-10-03,Mishti Rout,New Delhi,Sikkim,India,Store,UPI,"₹ 30,818.00","₹ 9,245.40"
TX0063,Desktop PC,3,"₹ 18,562.00",Jul,2024-07-04,Madhup Bhatti,Satara,Assam,India,Direct,Cash,"₹ 55,686.00","₹ 16,705.80"
TX0064,Smartwatch,2,"₹ 12,242.00",Oct,2023-10-02,Myra Gala,Imphal,Karnataka,India,Online,Credit Card,"₹ 24,484.00","₹ 7,345.20"
TX0065,Smartwatch,5,"₹ 10,977.00",Aug,2024-08-22,Prisha Gade,Parbhani,West Bengal,India,Store,Debit Card,"₹ 54,885.00","₹ 16,465.50"
TX0066,E-Reader,3,"₹ 19,091.00",Sep,2024-09-20,Kavya Chaudry,Warangal,West Bengal,India,Online,Net Banking,"₹ 57,273.00","₹ 17,181.90"
TX0067,Tablet,6,"₹ 11,557.00",Apr,2024-04-22,Anika Virk,Jalgaon,Himachal Pradesh,India,Online,Cash,"₹ 69,342.00","₹ 20,802.60"
TX0068,External Hard Drive,6,"₹ 16,181.00",Jun,2024-06-01,Tara Shukla,Sri Ganganagar,Kerala,India,Store,Debit Card,"₹ 97,086.00","₹ 29,125.80"
TX0069,Smartwatch,6,"₹ 17,480.00",Mar,2024-03-12,Arhaan Bhandari,Jehanabad,Tamil Nadu,India,Store,Net Banking,"₹ 104,880.00","₹ 31,464.00"
TX0070,Smartphone,3,"₹ 16,998.00",Dec,2023-12-30,Inaaya  Varughese,Ghaziabad,Kerala,India,Store,Cash,"₹ 50,994.00","₹ 15,298.20"
TX0071,Headphones,6,"₹ 7,330.00",Jun,2024-06-25,Divit Srivastava,Visakhapatnam,Maharashtra,India,Store,Cash,"₹ 43,980.00","₹ 13,194.00"
TX0072,Headphones,8,"₹ 11,015.00",Sep,2024-09-03,Shayak Handa,Vadodara,Nagaland,India,Online,Net Banking,"₹ 88,120.00","₹ 26,436.00"
TX0073,Printer,8,"₹ 12,417.00",May,2024-05-27,Nirvi Gopal,Hosur,Assam,India,Store,UPI,"₹ 99,336.00","₹ 29,800.80"
TX0074,E-Reader,7,"₹ 17,469.00",Apr,2024-04-02,Arnav Bhavsar,Amritsar,Karnataka,India,Direct,Cash,"₹ 122,283.00","₹ 36,684.90"
TX0075,E-Reader,2,"₹ 12,483.00",Jul,2024-07-07,Jhanvi Rattan,Chennai,Meghalaya,India,Store,Credit Card,"₹ 24,966.00","₹ 7,489.80"
TX0076,E-Reader,7,"₹ 16,926.00",Jan,2024-01-07,Anika Badami,Nagpur,Meghalaya,India,Online,UPI,"₹ 118,482.00","₹ 35,544.60"
TX0077,Desktop PC,8,"₹ 6,754.00",Jul,2024-07-06,Priyansh Balakrishnan,Bokaro,Kerala,India,Store,Credit Card,"₹ 54,032.00","₹ 16,209.60"
TX0078,Smartwatch,3,"₹ 13,385.00",Nov,2023-11-04,Kashvi Batra,Jaipur,Meghalaya,India,Direct,Cash,"₹ 40,155.00","₹ 12,046.50"
TX0079,Desktop PC,4,"₹ 12,587.00",May,2024-05-26,Fateh Bhattacharyya,Aurangabad,Kerala,India,Online,Net Banking,"₹ 50,348.00","₹ 15,104.40"
TX0080,Desktop PC,2,"₹ 7,612.00",Sep,2024-09-03,Divij Seth,Surat,Mizoram,India,Store,Cash,"₹ 15,224.00","₹ 4,567.20"
TX0081,Printer,6,"₹ 10,397.00",Jan,2024-01-16,Suhana Kade,Amravati,Karnataka,India,Store,Debit Card,"₹ 62,382.00","₹ 18,714.60"
TX0082,External Hard Drive,3,"₹ 13,106.00",Jan,2024-01-02,Himmat Chacko,Bhalswa Jahangir Pur,Sikkim,India,Store,UPI,"₹ 39,318.00","₹ 11,795.40"
TX0083,External Hard Drive,1,"₹ 8,957.00",Dec,2023-12-23,Advik Anand,Kishanganj,Tamil Nadu,India,Direct,UPI,"₹ 8,957.00","₹ 2,687.10"
TX0084,Laptop,2,"₹ 5,792.00",Jan,2024-01-23,Piya Tara,Proddatur,Nagaland,India,Direct,Net Banking,"₹ 11,584.00","₹ 3,475.20"
TX0085,Printer,1,"₹ 12,305.00",Jun,2024-06-22,Nirvi Bhalla,Pune,Haryana,India,Store,Cash,"₹ 12,305.00","₹ 3,691.50"
TX0086,Smartphone,7,"₹ 16,608.00",Dec,2023-12-18,Alisha Setty,Sikar,Bihar,India,Online,Credit Card,"₹ 116,256.00","₹ 34,876.80"
TX0087,Headphones,1,"₹ 8,445.00",Oct,2023-10-08,Raunak Sahni,Pimpri-Chinchwad,Nagaland,India,Online,Credit Card,"₹ 8,445.00","₹ 2,533.50"
TX0088,E-Reader,5,"₹ 8,363.00",Sep,2024-09-14,Adah Raju,Tirupati,Chhattisgarh,India,Online,Credit Card,"₹ 41,815.00","₹ 12,544.50"
TX0089,Desktop PC,9,"₹ 2,165.00",Jul,2024-07-31,Lakshay Behl,Berhampore,Gujarat,India,Online,Net Banking,"₹ 19,485.00","₹ 5,845.50"
TX0090,Smartwatch,5,"₹ 18,818.00",May,2024-05-17,Vedika Mahajan,Dhanbad,Kerala,India,Online,Cash,"₹ 94,090.00","₹ 28,227.00"
TX0091,Printer,4,"₹ 16,744.00",Jul,2024-07-06,Nirvaan Yohannan,Shimoga,Chhattisgarh,India,Direct,UPI,"₹ 66,976.00","₹ 20,092.80"
TX0092,Laptop,4,"₹ 3,968.00",Jun,2024-06-08,Keya De,Avadi,Uttarakhand,India,Direct,UPI,"₹ 15,872.00","₹ 4,761.60"
TX0093,External Hard Drive,9,"₹ 3,228.00",Oct,2023-10-29,Advik Kulkarni,Tezpur,Punjab,India,Store,UPI,"₹ 29,052.00","₹ 8,715.60"
TX0094,Printer,9,"₹ 11,220.00",Apr,2024-04-03,Bhavin Manda,Bhusawal,Manipur,India,Online,Credit Card,"₹ 100,980.00","₹ 30,294.00"
TX0095,Printer,8,"₹ 3,198.00",Jul,2024-07-11,Suhana Ganesan,Jaipur,Goa,India,Direct,Net Banking,"₹ 25,584.00","₹ 7,675.20"
TX0096,Printer,1,"₹ 13,505.00",Mar,2024-03-06,Piya Bajwa,Aurangabad,Nagaland,India,Online,UPI,"₹ 13,505.00","₹ 4,051.50"
TX0097,Smartwatch,4,"₹ 16,730.00",Oct,2023-10-10,Riaan Dhillon,Bhiwani,Jharkhand,India,Direct,Net Banking,"₹ 66,920.00","₹ 20,076.00"
TX0098,Camera,9,"₹ 9,579.00",Jan,2024-01-10,Ayesha Chander,Agartala,Gujarat,India,Store,Net Banking,"₹ 86,211.00","₹ 25,863.30"
TX0099,Smartwatch,8,"₹ 5,406.00",Nov,2023-11-03,Mamooty Dyal,Bardhaman,Tripura,India,Online,Net Banking,"₹ 43,248.00","₹ 12,974.40"
TX0100,Camera,8,"₹ 6,966.00",Jan,2024-01-17,Shaan Balan,Parbhani,Punjab,India,Store,UPI,"₹ 55,728.00","₹ 16,718.40"
TX0101,Camera,2,"₹ 7,517.00",May,2024-05-12,Lagan Sarna,Jhansi,Tamil Nadu,India,Store,Debit Card,"₹ 15,034.00","₹ 4,510.20"
TX0102,Smartphone,9,"₹ 9,197.00",Aug,2024-08-03,Jayan Balasubramanian,Karawal Nagar,Punjab,India,Store,Cash,"₹ 82,773.00","₹ 24,831.90"
TX0103,Smartphone,5,"₹ 11,166.00",Jan,2024-01-18,Mamooty Thaman,Nadiad,Himachal Pradesh,India,Online,Debit Card,"₹ 55,830.00","₹ 16,749.00"
TX0104,External Hard Drive,8,"₹ 19,611.00",Sep,2024-09-23,Prerak Badal,Kharagpur,Kerala,India,Store,Net Banking,"₹ 156,888.00","₹ 47,066.40"
TX0105,E-Reader,1,"₹ 14,767.00",Feb,2024-02-12,Yuvaan Bhasin,Siliguri,West Bengal,India,Online,Net Banking,"₹ 14,767.00","₹ 4,430.10"
TX0106,Camera,5,"₹ 9,278.00",Sep,2024-09-16,Aniruddh Ghosh,New Delhi,Rajasthan,India,Store,Debit Card,"₹ 46,390.00","₹ 13,917.00"
TX0107,Smartwatch,1,"₹ 3,492.00",Jun,2024-06-17,Keya Rau,Pimpri-Chinchwad,Manipur,India,Online,Debit Card,"₹ 3,492.00","₹ 1,047.60"
TX0108,Desktop PC,7,"₹ 5,767.00",Jul,2024-07-08,Jayesh Virk,Motihari,Chhattisgarh,India,Store,Net Banking,"₹ 40,369.00","₹ 12,110.70"
TX0109,Camera,5,"₹ 17,101.00",Aug,2024-08-01,Anahita Gala,Nadiad,Himachal Pradesh,India,Direct,Credit Card,"₹ 85,505.00","₹ 25,651.50"
TX0110,External Hard Drive,3,"₹ 19,538.00",Dec,2023-12-27,Rania Gala,Nagpur,Gujarat,India,Direct,UPI,"₹ 58,614.00","₹ 17,584.20"
TX0111,Desktop PC,5,"₹ 2,184.00",Jun,2024-06-08,Piya Doctor,Erode,Chhattisgarh,India,Online,Cash,"₹ 10,920.00","₹ 3,276.00"
TX0112,Smartwatch,7,"₹ 9,278.00",May,2024-05-24,Krish Lal,Bhiwani,Telangana,India,Direct,Cash,"₹ 64,946.00","₹ 19,483.80"
TX0113,Desktop PC,4,"₹ 13,974.00",Jun,2024-06-02,Neysa Dhawan,Bhilai,Jharkhand,India,Store,Net Banking,"₹ 55,896.00","₹ 16,768.80"
TX0114,Desktop PC,4,"₹ 7,074.00",Apr,2024-04-11,Prisha Chanda,Chandigarh,Madhya Pradesh,India,Store,Cash,"₹ 28,296.00","₹ 8,488.80"
TX0115,E-Reader,8,"₹ 12,430.00",Jan,2024-01-12,Hrishita Dora,Jamnagar,Tamil Nadu,India,Online,Debit Card,"₹ 99,440.00","₹ 29,832.00"
TX0116,Desktop PC,9,"₹ 9,726.00",Jun,2024-06-19,Jayan Ramakrishnan,Saharanpur,Chhattisgarh,India,Direct,Debit Card,"₹ 87,534.00","₹ 26,260.20"
TX0117,Tablet,6,"₹ 15,051.00",Jan,2024-01-07,Lakshit Sane,Sasaram,Uttar Pradesh,India,Store,UPI,"₹ 90,306.00","₹ 27,091.80"
TX0118,E-Reader,1,"₹ 7,209.00",Jul,2024-07-31,Jivika Dani,Kavali,Nagaland,India,Store,Credit Card,"₹ 7,209.00","₹ 2,162.70"
TX0119,Smartwatch,9,"₹ 8,462.00",Feb,2024-02-27,Ahana  Hora,Katihar,Chhattisgarh,India,Store,UPI,"₹ 76,158.00","₹ 22,847.40"
TX0120,Laptop,6,"₹ 18,677.00",Dec,2023-12-23,Rasha Kota,Gurgaon,Kerala,India,Direct,Credit Card,"₹ 112,062.00","₹ 33,618.60"
TX0121,Printer,5,"₹ 16,495.00",Nov,2023-11-06,Oorja Sachdeva,Begusarai,Telangana,India,Store,Debit Card,"₹ 82,475.00","₹ 24,742.50"
TX0122,Laptop,8,"₹ 6,983.00",Aug,2024-08-27,Pari Bhagat,Ghaziabad,Nagaland,India,Direct,Net Banking,"₹ 55,864.00","₹ 16,759.20"
TX0123,Tablet,5,"₹ 10,092.00",Nov,2023-11-10,Saanvi Ramesh,Salem,Gujarat,India,Direct,Credit Card,"₹ 50,460.00","₹ 15,138.00"
TX0124,Camera,2,"₹ 11,576.00",Jan,2024-01-06,Kismat Lanka,Aligarh,West Bengal,India,Store,Net Banking,"₹ 23,152.00","₹ 6,945.60"
TX0125,Printer,4,"₹ 14,271.00",Dec,2023-12-08,Gokul Chaudhary,Dehri,Telangana,India,Store,Credit Card,"₹ 57,084.00","₹ 17,125.20"
TX0126,Smartphone,4,"₹ 5,869.00",Jun,2024-06-13,Drishya Bahl,Berhampore,Himachal Pradesh,India,Store,Debit Card,"₹ 23,476.00","₹ 7,042.80"
TX0127,E-Reader,3,"₹ 5,796.00",Dec,2023-12-14,Divit Sundaram,Korba,Assam,India,Online,UPI,"₹ 17,388.00","₹ 5,216.40"
TX0128,Smartwatch,6,"₹ 7,393.00",Feb,2024-02-21,Lakshit Sathe,Sirsa,Haryana,India,Online,Cash,"₹ 44,358.00","₹ 13,307.40"
TX0129,Smartwatch,3,"₹ 13,943.00",Dec,2023-12-22,Kiaan Chana,Hindupur,Telangana,India,Store,Net Banking,"₹ 41,829.00","₹ 12,548.70"
TX0130,Laptop,4,"₹ 3,506.00",Aug,2024-08-31,Aayush De,Deoghar,Tripura,India,Online,Cash,"₹ 14,024.00","₹ 4,207.20"
TX0131,E-Reader,6,"₹ 17,920.00",Jul,2024-07-06,Nitya Bains,Bidhannagar,Karnataka,India,Store,UPI,"₹ 107,520.00","₹ 32,256.00"
TX0132,Tablet,8,"₹ 16,550.00",Jul,2024-07-18,Shamik Barman,Mumbai,Uttarakhand,India,Online,Credit Card,"₹ 132,400.00","₹ 39,720.00"
TX0133,Smartphone,3,"₹ 9,213.00",Oct,2023-10-20,Parinaaz Chaudhary,Chandrapur,Telangana,India,Online,Credit Card,"₹ 27,639.00","₹ 8,291.70"
TX0134,External Hard Drive,8,"₹ 3,146.00",Sep,2024-09-17,Prerak Dewan,Arrah,Jharkhand,India,Direct,Cash,"₹ 25,168.00","₹ 7,550.40"
TX0135,Camera,2,"₹ 4,737.00",Feb,2024-02-09,Pihu Bakshi,Bilaspur,Jharkhand,India,Store,Cash,"₹ 9,474.00","₹ 2,842.20"
TX0136,Smartphone,7,"₹ 17,708.00",Aug,2024-08-16,Nishith Issac,Raipur,Sikkim,India,Direct,UPI,"₹ 123,956.00","₹ 37,186.80"
TX0137,E-Reader,6,"₹ 19,729.00",Feb,2024-02-19,Zaina Vala,Gurgaon,Maharashtra,India,Store,Debit Card,"₹ 118,374.00","₹ 35,512.20"
TX0138,Camera,1,"₹ 3,365.00",Dec,2023-12-22,Shaan Grewal,Dibrugarh,Kerala,India,Online,UPI,"₹ 3,365.00","₹ 1,009.50"
TX0139,Tablet,1,"₹ 15,856.00",Mar,2024-03-13,Stuvan Tara,Dehri,Tamil Nadu,India,Direct,Net Banking,"₹ 15,856.00","₹ 4,756.80"
TX0140,Headphones,4,"₹ 18,371.00",May,2024-05-22,Indranil Chawla,Karnal,Sikkim,India,Store,Net Banking,"₹ 73,484.00","₹ 22,045.20"
TX0141,Printer,2,"₹ 4,170.00",Jan,2024-01-29,Adira Sekhon,Vellore,Rajasthan,India,Online,Credit Card,"₹ 8,340.00","₹ 2,502.00"
TX0142,Desktop PC,7,"₹ 7,222.00",Jun,2024-06-16,Shlok Majumdar,Ujjain,Arunachal Pradesh,India,Online,Cash,"₹ 50,554.00","₹ 15,166.20"
TX0143,External Hard Drive,7,"₹ 18,473.00",Sep,2024-09-06,Badal Magar,Mirzapur,Tripura,India,Online,Cash,"₹ 129,311.00","₹ 38,793.30"
TX0144,External Hard Drive,8,"₹ 5,185.00",May,2024-05-13,Ranbir Ray,Kulti,Tamil Nadu,India,Store,UPI,"₹ 41,480.00","₹ 12,444.00"
TX0145,Desktop PC,9,"₹ 10,347.00",Nov,2023-11-10,Jiya Chanda,Dewas,Kerala,India,Direct,Credit Card,"₹ 93,123.00","₹ 27,936.90"
TX0146,Laptop,9,"₹ 3,537.00",Jun,2024-06-17,Keya Chandran,Rajahmundry,Jharkhand,India,Direct,Cash,"₹ 31,833.00","₹ 9,549.90"
TX0147,E-Reader,8,"₹ 4,313.00",Mar,2024-03-06,Veer Bajaj,Pondicherry,Arunachal Pradesh,India,Store,UPI,"₹ 34,504.00","₹ 10,351.20"
TX0148,Desktop PC,1,"₹ 14,403.00",Jul,2024-07-17,Mahika Sharma,Jehanabad,Mizoram,India,Online,UPI,"₹ 14,403.00","₹ 4,320.90"
TX0149,Camera,9,"₹ 3,873.00",Feb,2024-02-18,Dhanuk Ratta,Imphal,Nagaland,India,Online,Debit Card,"₹ 34,857.00","₹ 10,457.10"
TX0150,Desktop PC,7,"₹ 14,683.00",Jun,2024-06-06,Pari Dhawan,Khora ,Maharashtra,India,Online,Debit Card,"₹ 102,781.00","₹ 30,834.30"
TX0151,Headphones,9,"₹ 4,295.00",Oct,2023-10-22,Piya Krishnamurthy,Thanjavur,Sikkim,India,Store,UPI,"₹ 38,655.00","₹ 11,596.50"
TX0152,Printer,9,"₹ 7,955.00",Oct,2023-10-13,Kiaan Vig,Ujjain,Kerala,India,Store,UPI,"₹ 71,595.00","₹ 21,478.50"
TX0153,Smartphone,4,"₹ 19,700.00",Aug,2024-08-06,Siya Master,Chandrapur,Karnataka,India,Direct,UPI,"₹ 78,800.00","₹ 23,640.00"
TX0154,E-Reader,7,"₹ 10,211.00",May,2024-05-26,Anay Bhagat,Fatehpur,Punjab,India,Online,Cash,"₹ 71,477.00","₹ 21,443.10"
TX0155,Headphones,2,"₹ 3,007.00",Jan,2024-01-17,Prerak Devan,Maheshtala,Chhattisgarh,India,Store,Credit Card,"₹ 6,014.00","₹ 1,804.20"
